trainer_name,sprint_starts,wins,sprint_strike,expected_wins,expected_strike,break_on_top,break_on_top_strike,break_on_top_and_won,break_on_top_and_won_strike,break_on_top_expected_wins,break_on_top_and_won_expected_strike,break_last,break_last_strike,break_last_and_won,break_last_and_won_strike,break_last_expected_wins,break_last_and_won_expected_strike
George Weaver,97,14,0.144329897,12.29373585,0.12371134,5,0.051546392,1,0.010309278,0.751534957,0.010309278,14,0.144329897,0,0,1.436476546,0.010309278
Tim Dixon,57,5,0.087719298,3.31387558,0.052631579,5,0.087719298,0,0,0.536884708,0.01754386,13,0.228070175,1,0.01754386,0.667370424,0.01754386
Nicholas Gonzalez,101,11,0.108910891,12.70608519,0.128712871,5,0.04950495,0,0,0.497061429,0,21,0.207920792,2,0.01980198,2.683634966,0.02970297
Rey Hernandez,65,6,0.092307692,5.099791917,0.076923077,5,0.076923077,1,0.015384615,0.618616617,0.015384615,3,0.046153846,0,0,0.166144725,0
David D. McShane,54,2,0.037037037,2.99288899,0.055555556,5,0.092592593,1,0.018518519,0.326946804,0,11,0.203703704,0,0,0.668940938,0.018518519
"Sam B. David, Jr.",63,16,0.253968254,10.6302662,0.174603175,5,0.079365079,2,0.031746032,0.979763889,0.015873016,18,0.285714286,5,0.079365079,2.711563159,0.047619048
John D. McKee,98,8,0.081632653,9.617701729,0.102040816,5,0.051020408,1,0.010204082,0.88146903,0.010204082,29,0.295918367,0,0,2.496395898,0.020408163
Howard Alonzo,56,3,0.053571429,4.623852629,0.089285714,5,0.089285714,1,0.017857143,0.639955111,0.017857143,16,0.285714286,0,0,1.064901484,0.017857143
Michael P. De Paulo,101,9,0.089108911,8.937049919,0.089108911,5,0.04950495,3,0.02970297,0.586692437,0.00990099,19,0.188118812,0,0,1.436505713,0.00990099
David G. Donk,72,5,0.069444444,4.525869294,0.069444444,5,0.069444444,0,0,0.28682875,0,10,0.138888889,1,0.013888889,0.535101914,0.013888889
"H. Ray Ashford, Jr.",56,6,0.107142857,5.862612734,0.107142857,5,0.089285714,1,0.017857143,0.416557989,0,9,0.160714286,1,0.017857143,1.481500165,0.017857143
Dallas Stewart,117,10,0.085470085,8.985950376,0.076923077,5,0.042735043,1,0.008547009,0.455844308,0,15,0.128205128,2,0.017094017,1.210757243,0.008547009
Joseph F. Orseno,83,8,0.096385542,7.568976565,0.096385542,5,0.060240964,3,0.036144578,1.140466732,0.012048193,19,0.228915663,0,0,1.154614884,0.012048193
