,ages,metric,ncond,age,saddle,decimalPrice,isFav,RPR,TR,OR,father,weight,res_win
76532,3yo+,3419.0,1,5.0,3.0,0.3076923076923077,0,97.0,80.0,91.0,New Approach,72,1.0
76533,3yo+,3419.0,1,9.0,4.0,0.18181818181818185,0,93.0,76.0,91.0,Tamayuz,72,0.0
76536,3yo+,3419.0,1,5.0,2.0,0.08333333333333333,0,79.0,60.0,95.0,Dawn Approach,74,0.0
76537,3yo+,3419.0,1,6.0,7.0,0.0196078431372549,0,71.0,51.0,87.0,Sir Percy,70,0.0
76541,3yo+,3419.0,1,7.0,3.0,0.2222222222222222,1,101.0,93.0,91.0,New Approach,69,1.0
76542,3yo+,3419.0,1,6.0,2.0,0.13333333333333333,0,103.0,94.0,93.0,Intense Focus,70,0.0
76545,3yo+,3419.0,1,7.0,7.0,0.2222222222222222,1,74.0,58.0,85.0,Midnight Legend,70,0.0
76546,3yo+,3419.0,1,7.0,6.0,0.06666666666666668,0,70.0,56.0,87.0,Papal Bull,68,0.0
76548,3yo+,3419.0,1,4.0,9.0,0.043478260869565216,0,52.0,37.0,79.0,Poet's Voice,66,0.0
76550,4yo+,5329.5,1,6.0,7.0,0.18181818181818185,0,96.0,77.0,90.0,Presenting,63,1.0
76551,4yo+,5329.5,1,6.0,4.0,0.2,0,110.0,92.0,109.0,Muhtathir,72,0.0
76552,4yo+,5329.5,1,6.0,2.0,0.06666666666666668,0,115.0,96.0,115.0,Great Pretender,75,0.0
76553,4yo+,5329.5,1,7.0,5.0,0.42105263157894735,1,103.0,86.0,106.0,Beneficial,69,0.0
76555,4yo+,5329.5,1,10.0,3.0,0.1,0,98.0,84.0,113.0,Midnight Legend,74,0.0
76557,4yo+,4323.5,1,8.0,1.0,0.15384615384615385,0,136.0,114.0,129.0,Iffraaj,72,1.0
76558,4yo+,4323.5,1,7.0,7.0,0.1,0,119.0,99.0,122.0,Arcadio,72,0.0
76559,4yo+,4323.5,1,8.0,4.0,0.2222222222222222,0,118.0,98.0,125.0,Azamour,73,0.0
76560,4yo+,4323.5,1,6.0,5.0,0.3076923076923077,1,115.0,95.0,123.0,Trans Island,72,0.0
76561,4yo+,4323.5,1,7.0,9.0,0.13333333333333333,0,105.0,85.0,113.0,Sir Percy,64,0.0
76562,4yo+,4323.5,1,8.0,2.0,0.05882352941176471,0,97.0,79.0,128.0,Oscar,74,0.0
76563,4yo+,4323.5,1,10.0,3.0,0.08333333333333333,0,83.0,64.0,125.0,Midnight Legend,72,0.0
76566,5yo+,3318.5,1,5.0,2.0,0.3125,1,139.0,103.0,135.0,Canford Cliffs,68,1.0
76568,5yo+,3318.5,1,6.0,6.0,0.18181818181818185,0,136.0,100.0,130.0,Harbour Watch,68,0.0
76569,5yo+,3318.5,1,8.0,3.0,0.16666666666666666,0,134.0,98.0,130.0,Stowaway,68,0.0
76571,5yo+,3318.5,1,5.0,5.0,0.06666666666666668,0,122.0,78.0,126.0,Champs Elysees,68,0.0
76572,5yo+,3318.5,1,7.0,7.0,0.1111111111111111,0,108.0,58.0,125.0,Passing Glance,65,0.0
76573,4yo+,5229.0,1,7.0,2.0,0.4761904761904762,1,134.0,109.0,125.0,Yeats,75,1.0
76574,4yo+,5229.0,1,8.0,4.0,0.26666666666666666,0,123.0,100.0,118.0,Yeats,72,0.0
76575,4yo+,5229.0,1,11.0,1.0,0.1,0,107.0,89.0,125.0,Ballingarry,73,0.0
76577,4yo+,5229.0,1,7.0,5.0,0.07692307692307693,0,39.0,26.0,111.0,Getaway,65,0.0
76578,4yo+,4223.0,1,8.0,9.0,0.2,0,97.0,58.0,90.0,Court Cave,69,1.0
76580,4yo+,4223.0,1,10.0,3.0,0.14285714285714285,0,105.0,65.0,99.0,Gold Well,74,0.0
76582,4yo+,4223.0,1,10.0,8.0,0.05263157894736842,0,96.0,56.0,92.0,Trans Island,70,0.0
76584,4yo+,4223.0,1,11.0,11.0,0.06666666666666668,0,68.0,23.0,78.0,Morozov,65,0.0
76599,2yo,1005.0,1,2.0,4.0,0.26666666666666666,1,79.0,77.0,78.0,Mehmas,59,1.0
76616,3yo+,1206.0,1,6.0,12.0,0.043478260869565216,0,84.0,57.0,78.0,Vale Of York,57,0.0
76617,3yo+,1206.0,1,6.0,1.0,0.1111111111111111,0,92.0,64.0,90.0,Zebedee,62,0.0
76618,3yo+,1206.0,1,7.0,11.0,0.043478260869565216,0,83.0,55.0,81.0,Pastoral Pursuits,58,0.0
76619,3yo+,1206.0,1,6.0,6.0,0.2857142857142857,1,86.0,57.0,84.0,Kyllachy,59,0.0
76620,3yo+,1206.0,1,7.0,9.0,0.09090909090909093,0,81.0,52.0,83.0,Pastoral Pursuits,59,0.0
76621,3yo+,1206.0,1,6.0,4.0,0.14285714285714285,0,87.0,57.0,89.0,Equiano,62,0.0
76622,3yo+,1206.0,1,5.0,10.0,0.07692307692307693,0,80.0,49.0,82.0,Camacho,58,0.0
76623,3yo+,1206.0,1,4.0,2.0,0.05882352941176471,0,83.0,51.0,90.0,Dick Turpin,62,0.0
76624,3yo+,1206.0,1,7.0,5.0,0.1176470588235294,0,78.0,45.0,85.0,Kheleyf,60,0.0
76625,3yo+,1206.0,1,5.0,3.0,0.024390243902439025,0,58.0,19.0,89.0,Epaulette,62,0.0
76626,3yo+,1206.0,1,3.0,7.0,0.038461538461538464,0,51.0,10.0,88.0,Make Believe,59,0.0
76627,3yo+,1206.0,1,3.0,1.0,0.2,0,74.0,58.0,70.0,Helmet,59,1.0
76628,3yo+,1206.0,1,3.0,2.0,0.26666666666666666,0,68.0,51.0,70.0,Elzaam,59,0.0
76629,3yo+,1206.0,1,3.0,3.0,0.5238095238095238,1,67.0,50.0,77.0,Sidestep,59,0.0
76632,3yo+,2413.0,1,5.0,3.0,0.06666666666666668,0,104.0,68.0,98.0,Lope De Vega,61,1.0
76633,3yo+,2413.0,1,5.0,7.0,0.3809523809523809,1,100.0,64.0,95.0,Sea The Stars,60,0.0
76634,3yo+,2413.0,1,4.0,6.0,0.2,0,100.0,64.0,96.0,Mastercraftsman,60,0.0
76635,3yo+,2413.0,1,5.0,5.0,0.07692307692307693,0,101.0,65.0,98.0,Galileo,61,0.0
76636,3yo+,2413.0,1,6.0,2.0,0.08333333333333333,0,102.0,65.0,99.0,Nathaniel,62,0.0
76637,3yo+,2413.0,1,4.0,1.0,0.16666666666666666,0,101.0,63.0,102.0,Dubawi,63,0.0
76638,3yo+,2413.0,1,5.0,8.0,0.125,0,80.0,40.0,88.0,Holy Roman Emperor,57,0.0
76640,4yo+,2815.0,1,4.0,5.0,0.2857142857142857,0,74.0,16.0,68.0,Dutch Art,52,1.0
76641,4yo+,2815.0,1,6.0,2.0,0.3809523809523809,1,88.0,29.0,84.0,Lope De Vega,59,0.0
76642,4yo+,2815.0,1,5.0,3.0,0.16666666666666666,0,78.0,18.0,74.0,Shamardal,55,0.0
76643,4yo+,2815.0,1,5.0,4.0,0.2,0,70.0,9.0,69.0,Champs Elysees,53,0.0
76644,4yo+,2815.0,1,6.0,1.0,0.043478260869565216,0,78.0,13.0,85.0,Big Bad Bob,60,0.0
76645,3yo+,2011.0,1,3.0,7.0,0.3333333333333333,0,89.0,58.0,77.0,Dutch Art,58,1.0
76646,3yo+,2011.0,1,7.0,1.0,0.14285714285714285,0,88.0,58.0,83.0,Shamardal,64,0.0
76647,3yo+,2011.0,1,7.0,2.0,0.14285714285714285,0,80.0,50.0,76.0,Champs Elysees,61,0.0
76648,3yo+,2011.0,1,3.0,3.0,0.3809523809523809,1,84.0,53.0,83.0,New Approach,60,0.0
76649,3yo+,2011.0,1,3.0,4.0,0.038461538461538464,0,83.0,51.0,82.0,Make Believe,60,0.0
76650,3yo+,2011.0,1,3.0,6.0,0.05263157894736842,0,73.0,41.0,77.0,Slade Power,58,0.0
76703,3yo+,1407.0,2,5.0,10.0,0.18181818181818185,1,107.0,98.0,95.0,Makfi,55,1.0
76704,3yo+,1407.0,2,6.0,8.0,0.07692307692307693,0,105.0,96.0,97.0,Canford Cliffs,56,0.0
76705,3yo+,1407.0,2,5.0,4.0,0.03448275862068965,0,106.0,96.0,101.0,Lonhro,58,0.0
76706,3yo+,1407.0,2,7.0,6.0,0.09090909090909093,0,103.0,93.0,100.0,Royal Applause,58,0.0
76707,3yo+,1407.0,2,3.0,20.0,0.16666666666666666,0,91.0,80.0,92.0,Oasis Dream,48,0.0
76708,3yo+,1407.0,2,5.0,11.0,0.012345679012345678,0,96.0,85.0,95.0,Dansili,55,0.0
76709,3yo+,1407.0,2,4.0,2.0,0.1111111111111111,0,102.0,91.0,102.0,Dubawi,58,0.0
76710,3yo+,1407.0,2,4.0,14.0,0.06666666666666668,0,93.0,81.0,93.0,Dark Angel,54,0.0
76711,3yo+,1407.0,2,6.0,13.0,0.043478260869565216,0,93.0,80.0,93.0,Arcano,52,0.0
76712,3yo+,1407.0,2,4.0,16.0,0.05882352941176471,0,88.0,75.0,90.0,Swiss Spirit,51,0.0
76713,3yo+,1407.0,2,5.0,15.0,0.07692307692307693,0,88.0,75.0,91.0,Dark Angel,53,0.0
76714,3yo+,1407.0,2,4.0,5.0,0.029411764705882363,0,90.0,76.0,100.0,Slade Power,58,0.0
76715,3yo+,1407.0,2,5.0,17.0,0.038461538461538464,0,79.0,65.0,90.0,Excelebration,53,0.0
76716,3yo+,1407.0,2,7.0,7.0,0.047619047619047616,0,87.0,72.0,99.0,Exceed And Excel,55,0.0
76717,3yo+,1407.0,2,5.0,1.0,0.06666666666666668,0,95.0,79.0,108.0,Kodiac,61,0.0
76718,3yo+,1407.0,2,4.0,19.0,0.012345679012345678,0,74.0,58.0,88.0,Dark Angel,51,0.0
76719,3yo+,1407.0,2,4.0,9.0,0.1111111111111111,0,70.0,53.0,96.0,Iffraaj,56,0.0
