DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,City Man,3,2.25,TRUE,1,Christophe Clement,Joel Rosario,1:16.930,SAR 7/18 5,36,Mucho Macho Man,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Cleon Jones,7,3.45,FALSE,2,Jeremiah Englehart,"Jorge Vargas, Jr.",1:17.675,SAR 7/28 1,26,Tale of the Cat,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Listentoyourheart,9,5.00,FALSE,3,Christophe Clement,Manuel Franco,1:17.832,SAR 7/17 2,37,Afleet Alex,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Theitalianamerican,6,10.30,FALSE,4,Gary Contessa,Javier Castellano,1:18.028,SAR 7/17 2,37,Girolamo,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Bull of Bayern,1,20.50,FALSE,5,Rudy Rodriguez,"Ricardo Santana, Jr.",1:18.146,BEL 6/26 6,58,Bayern,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Opportunist,5,8.60,FALSE,6,Mark Casse,Tyler Gaffalione,1:18.146,GP 7/20 9,34,Ghostzapper,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Mission Wrapitup,4,12.00,FALSE,7,Bruce Brown,Dylan Davis,1:19.126,SAR 7/17 2,37,Mission Impazible,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,Sky of Hook,8,8.40,FALSE,8,Rudy Rodriguez,Luis Saez,1:19.205,SAR 7/17 2,37,Tapiture,
8/23/19,8,STK-NY,Funny Cide S.,6.5,Dirt,No Lime,2,12.00,FALSE,9,William Mott,Junior Alvarado,1:19.479,SAR 7/26 2,28,Flashback,
8/24/19,2,MSW,,6,Dirt,Tap It to Win,1,3.65,FALSE,1,Mark Casse,Tyler Gaffalione,1:09.600,WO 7/21 7,34,Tapit,
8/24/19,2,MSW,,6,Dirt,Complexifier,3,3.00,FALSE,2,Brian Lynch,"Irad Ortiz, Jr.",1:10.138,SAR 7/27 4,28,Overanalyze,
8/24/19,2,MSW,,6,Dirt,O'Trouble,5,4.70,FALSE,3,Anthony Dutrow,John Velazquez,1:10.138,,,In Trouble,
8/24/19,2,MSW,,6,Dirt,Onward,6,11.80,FALSE,4,Christophe Clement,Jose Ortiz,1:11.176,,,Street Sense,
8/24/19,2,MSW,,6,Dirt,Icecap,7,22.70,FALSE,5,Steven Asmussen,"Ricardo Santana, Jr.",1:11.214,,,Carpe Diem,
8/24/19,2,MSW,,6,Dirt,Atoka,4,1.70,TRUE,6,D. Lukas,Luis Saez,1:11.445,SAR 8/3 3,21,Union Rags,
8/24/19,2,MSW,,6,Dirt,Moonshine Now,2,13.60,FALSE,7,Christophe Clement,Joel Rosario,1:11.445,,,Malibu Moon,
8/25/19,1,MSW-F,,6,Dirt,Wicked Whisper,1,1.60,TRUE,1,Steven Asmussen,"Ricardo Santana, Jr.",1:10.330,,,Liam's Map,
8/25/19,1,MSW-F,,6,Dirt,Highland Glory,3,4.10,FALSE,2,Barclay Tagg,Junior Alvarado,1:11.301,,,Sky Mesa,
8/25/19,1,MSW-F,,6,Dirt,Foreign Exchange,4,15.90,FALSE,3,D. Lukas,Luis Saez,1:11.495,SAR 8/4 1,21,Congrats,
8/25/19,1,MSW-F,,6,Dirt,Stop Shoppin Tammy,5,2.15,FALSE,4,Philip Bauer,Eric Cancel,1:12.117,,,Tapit,
8/25/19,1,MSW-F,,6,Dirt,Sea of Blue,2,5.80,FALSE,5,Kiaran McLaughlin,Joel Rosario,1:12.622,,,Midshipman,
8/25/19,1,MSW-F,,6,Dirt,Wedontbelieveher,6,9.20,FALSE,6,Anthony Quartarolo,Manuel Franco,1:13.204,SAR 8/18 5,7,Bayern,
8/25/19,7,MCL-F,,5.5,Turf,Double Down Dare,3,5.30,FALSE,1,Steve Klesaris,Manuel Franco,1:03.530,SAR 7/17 5,39,Cross Traffic,
8/25/19,7,MCL-F,,5.5,Turf,Roman City,1,3.30,FALSE,2,Robertino Diodoro,"Irad Ortiz, Jr.",1:03.874,,,City Zip,
8/25/19,7,MCL-F,,5.5,Turf,Wicked Amber,2,45.00,FALSE,3,Randi Persaud,Heman Harkie,1:03.874,SAR 7/31 5,25,Ghostzapper,
8/25/19,7,MCL-F,,5.5,Turf,More Or Less,9,3.80,FALSE,4,Phil Schoenthal,Kendrick Carmouche,1:04.180,,,More Than Ready,
8/25/19,7,MCL-F,,5.5,Turf,Yellen,7,3.00,TRUE,5,Wesley Ward,Dylan Davis,1:04.295,CD 6/20 4,66,Fed Biz,
8/25/19,7,MCL-F,,5.5,Turf,Larry's Baby,4,12.20,FALSE,6,D. Lukas,Luis Saez,1:04.640,SAR 7/19 5,37,Majesticperfection,
8/25/19,7,MCL-F,,5.5,Turf,Speed Talks,8,19.00,FALSE,7,Gary Contessa,Tyler Gaffalione,1:05.252,SAR 8/18 5,7,Afleet Express,
8/25/19,7,MCL-F,,5.5,Turf,Bow Maker,5,9.00,FALSE,8,Linda Rice,Jose Ortiz,1:05.788,,,Oxbow,
8/25/19,7,MCL-F,,5.5,Turf,Crack of Dawn,10,13.30,FALSE,9,Philip Serpe,Eric Cancel,1:05.827,SAR 7/21 7,35,Bernardini,
8/25/19,7,MCL-F,,5.5,Turf,Eli Rocks,6,36.25,FALSE,10,Thomas Morley,"Ricardo Santana, Jr.",1:06.286,,,Frost Giant,
8/28/19,6,MSW-NY,,6,Dirt,Moonachie,3,4.20,FALSE,1,Jeremiah Englehart,Jose Ortiz,1:10.780,,,Central Banker,
8/28/19,6,MSW-NY,,6,Dirt,Unrelenting Force,1,64.25,FALSE,2,Thomas Morley,Junior Alvarado,1:12.343,,,Carpe Diem,
8/28/19,6,MSW-NY,,6,Dirt,Chowda,10,36.50,FALSE,3,Gary Sciacca,Eric Cancel,1:12.500,,,Emcee,
8/28/19,6,MSW-NY,,6,Dirt,Blame the Cake,8,1.95,TRUE,4,Ian Wilkes,Julien Leparoux,1:12.500,SAR 7/14 4,45,Blame,
8/28/19,6,MSW-NY,,6,Dirt,Cryptographer,9,17.30,FALSE,5,Rudy Rodriguez,Luis Saez,1:12.734,,,Honor Code,
8/28/19,6,MSW-NY,,6,Dirt,Candygramformongo,6,12.10,FALSE,6,Steven Asmussen,"Ricardo Santana, Jr.",1:12.774,,,Majestic City,
8/28/19,6,MSW-NY,,6,Dirt,Lorenzen,4,3.50,FALSE,7,Mark Casse,"Irad Ortiz, Jr.",1:13.321,,,Flatter,
8/28/19,6,MSW-NY,,6,Dirt,Papa King,7,4.00,FALSE,8,Todd Pletcher,John Velazquez,1:13.673,BEL 5/31 2,89,Mission Impazible,
8/28/19,6,MSW-NY,,6,Dirt,Sir Ludlow,2,85.50,FALSE,9,Timothy Hamm,Joey Martinez,1:14.846,SAR 7/28 1,31,Midas Touch (GB),
8/28/19,6,MSW-NY,,6,Dirt,Macho Boy,5,15.30,FALSE,10,Gary Contessa,Manuel Franco,1:15.237,SAR 7/28 1,31,Mucho Macho Man,
8/28/19,7,MSW-F,,5.5,Turf,Jazzique (IRE),4,7.70,FALSE,1,Chad Brown,"Irad Ortiz, Jr.",1:03.170,,,Kingman (GB),
8/28/19,7,MSW-F,,5.5,Turf,Selflessly,5,4.90,FALSE,2,Chad Brown,Javier Castellano,1:03.246,,,More Than Ready,
8/28/19,7,MSW-F,,5.5,Turf,Tulanian,9,26.00,FALSE,3,Thomas Amoss,Junior Alvarado,1:03.284,SAR 7/31 6,28,Twirling Candy,
8/28/19,7,MSW-F,,5.5,Turf,Hai Bobbi,10,5.70,FALSE,4,Wesley Ward,Jose Ortiz,1:03.360,BEL 6/21 2,68,Shanghai Bobby,DQ'd and placed fifth
8/28/19,7,MSW-F,,5.5,Turf,Logic N Reason,6,10.00,FALSE,5,Christophe Clement,Joel Rosario,1:03.626,,,Declaration of War,
8/28/19,7,MSW-F,,5.5,Turf,Trash Panda,1,61.00,FALSE,6,Gary Contessa,Luis Saez,1:03.664,,,Congrats,
8/28/19,7,MSW-F,,5.5,Turf,Swirling Candy,3,12.70,FALSE,7,George Weaver,Eric Cancel,1:03.702,,,Twirling Candy,
8/28/19,7,MSW-F,,5.5,Turf,Nic and Zoe,7,1.25,TRUE,8,Wesley Ward,John Velazquez,1:03.855,,,Street Boss,
