rid,winningTime,ncond,class,age,decimalPrice,isFav,outHandicap,RPR,OR,TR,runners,res_win
126822,330.97,5,1,5,0.0476190476190476,0.0,2.54135893648449,128.0,143.0,103.0,6.0,0.0
128906,293.53,5,4,6,0.7777777777777779,1.0,2.54135893648449,135.0,74.67707319605019,70.0,14.0,1.0
128906,293.53,5,4,6,0.1666666666666666,0.0,2.54135893648449,112.0,74.67707319605019,48.0,14.0,0.0
128906,293.53,5,4,6,0.0769230769230769,0.0,2.54135893648449,105.0,74.67707319605019,41.0,14.0,0.0
128906,293.53,5,4,6,0.0196078431372549,0.0,2.54135893648449,104.0,74.67707319605019,40.0,14.0,0.0
128906,293.53,5,4,6,0.0476190476190476,0.0,2.54135893648449,99.0,74.67707319605019,35.0,14.0,0.0
128906,293.53,5,4,5,0.0099009900990099,0.0,2.54135893648449,94.0,74.67707319605019,29.0,14.0,0.0
128906,293.53,5,4,6,0.0149253731343283,0.0,2.54135893648449,85.0,74.67707319605019,18.0,14.0,0.0
128906,293.53,5,4,7,0.0099009900990099,0.0,2.54135893648449,83.0,74.67707319605019,15.0,14.0,0.0
132781,303.6,5,3,7,0.1428571428571428,0.0,2.54135893648449,140.0,128.0,90.0,5.0,1.0
132781,303.6,5,3,7,0.3333333333333333,1.0,2.54135893648449,132.0,125.0,84.0,5.0,0.0
132781,303.6,5,3,8,0.1666666666666666,0.0,2.54135893648449,134.0,136.0,86.0,5.0,0.0
132781,303.6,5,3,7,0.25,0.0,2.54135893648449,131.0,134.0,83.0,5.0,0.0
132781,303.6,5,3,8,0.25,0.0,2.54135893648449,93.0,129.0,41.0,5.0,0.0
133236,223.5,10,2,8,0.1666666666666666,0.0,2.54135893648449,136.0,129.0,130.0,11.0,1.0
133236,223.5,10,2,7,0.1111111111111111,0.0,2.54135893648449,144.0,139.0,139.0,11.0,0.0
133236,223.5,10,2,5,0.4,1.0,2.54135893648449,125.0,121.0,118.0,11.0,0.0
133236,223.5,10,2,7,0.0476190476190476,0.0,2.54135893648449,126.0,129.0,113.0,11.0,0.0
133236,223.5,10,2,10,0.0294117647058823,0.0,2.54135893648449,128.0,142.0,114.0,11.0,0.0
133236,223.5,10,2,10,0.0909090909090909,0.0,2.54135893648449,102.0,125.0,87.0,11.0,0.0
133236,223.5,10,2,5,0.024390243902439,0.0,6.0,78.0,116.0,56.0,11.0,0.0
133236,223.5,10,2,7,0.0588235294117647,0.0,2.54135893648449,55.0,119.0,11.0,11.0,0.0
133419,389.94,10,4,9,0.1818181818181818,0.0,2.54135893648449,113.0,107.0,32.0,8.0,1.0
133419,389.94,10,4,9,0.1538461538461538,0.0,2.54135893648449,100.0,95.0,19.0,8.0,0.0
133419,389.94,10,4,9,0.0666666666666666,0.0,2.54135893648449,106.0,102.0,23.0,8.0,0.0
133419,389.94,10,4,7,0.3076923076923077,1.0,2.54135893648449,109.0,109.0,27.0,8.0,0.0
133419,389.94,10,4,8,0.1111111111111111,0.0,2.54135893648449,94.0,108.0,12.0,8.0,0.0
133419,389.94,10,4,7,0.1111111111111111,0.0,2.54135893648449,93.0,111.0,11.0,8.0,0.0
134585,255.66,10,4,4,0.3478260869565217,1.0,2.54135893648449,109.0,74.67707319605019,93.0,9.0,1.0
134585,255.66,10,4,7,0.024390243902439,0.0,2.54135893648449,110.0,74.67707319605019,92.0,9.0,0.0
134585,255.66,10,4,5,0.3076923076923077,0.0,2.54135893648449,109.0,110.0,91.0,9.0,0.0
134585,255.66,10,4,7,0.125,0.0,2.54135893648449,107.0,74.67707319605019,86.0,9.0,0.0
134585,255.66,10,4,5,0.1538461538461538,0.0,2.54135893648449,94.0,74.67707319605019,70.0,9.0,0.0
134585,255.66,10,4,5,0.1111111111111111,0.0,2.54135893648449,95.0,74.67707319605019,70.0,9.0,0.0
134585,255.66,10,4,5,0.0476190476190476,0.0,2.54135893648449,88.0,74.67707319605019,60.0,9.0,0.0
134757,227.8,10,4,4,0.3333333333333333,0.0,2.54135893648449,110.0,74.67707319605019,102.0,8.0,1.0
134757,227.8,10,4,4,0.3636363636363637,1.0,2.54135893648449,108.0,116.0,102.0,8.0,0.0
134757,227.8,10,4,4,0.1818181818181818,0.0,2.54135893648449,108.0,74.67707319605019,100.0,8.0,0.0
134757,227.8,10,4,4,0.0476190476190476,0.0,2.54135893648449,94.0,74.67707319605019,84.0,8.0,0.0
134757,227.8,10,4,4,0.1111111111111111,0.0,2.54135893648449,89.0,74.67707319605019,77.0,8.0,0.0
134757,227.8,10,4,4,0.1052631578947368,0.0,2.54135893648449,84.0,74.67707319605019,69.0,8.0,0.0
134757,227.8,10,4,4,0.0196078431372549,0.0,2.54135893648449,75.0,74.67707319605019,58.0,8.0,0.0
136266,373.3,5,2,6,0.25,1.0,2.54135893648449,140.0,134.0,102.0,12.0,1.0
136266,373.3,5,2,6,0.1333333333333333,0.0,1.0,136.0,134.0,101.0,12.0,0.0
136266,373.3,5,2,9,0.1111111111111111,0.0,2.54135893648449,141.0,143.0,107.0,12.0,0.0
136266,373.3,5,2,7,0.1111111111111111,0.0,2.54135893648449,139.0,144.0,104.0,12.0,0.0
136266,373.3,5,2,9,0.0384615384615384,0.0,3.0,127.0,134.0,93.0,12.0,0.0
136266,373.3,5,2,6,0.0666666666666666,0.0,1.0,128.0,134.0,93.0,12.0,0.0
136266,373.3,5,2,10,0.1,0.0,2.54135893648449,147.0,155.0,113.0,12.0,0.0
136266,373.3,5,2,10,0.024390243902439,0.0,3.0,125.0,134.0,91.0,12.0,0.0
137975,58.22,0,5,7,0.3809523809523809,1.0,2.54135893648449,85.0,72.0,77.0,7.0,1.0
137975,58.22,0,5,6,0.0666666666666666,0.0,2.54135893648449,68.0,69.0,58.0,7.0,0.0
137975,58.22,0,5,8,0.0909090909090909,0.0,2.54135893648449,53.0,58.0,43.0,7.0,0.0
137975,58.22,0,5,6,0.0666666666666666,0.0,2.54135893648449,40.0,61.0,27.0,7.0,0.0
138272,101.7,0,6,4,0.0909090909090909,0.0,2.54135893648449,68.0,60.0,45.0,9.0,1.0
138272,101.7,0,6,6,0.2222222222222222,0.0,2.54135893648449,61.0,58.0,37.0,9.0,0.0
138272,101.7,0,6,6,0.25,1.0,2.54135893648449,56.0,60.0,29.0,9.0,0.0
138272,101.7,0,6,9,0.0833333333333333,0.0,2.54135893648449,41.0,50.0,13.0,9.0,0.0
138272,101.7,0,6,14,0.0588235294117647,0.0,2.54135893648449,42.0,57.0,12.0,9.0,0.0
140144,249.5,6,0,5,0.1428571428571428,0.0,2.54135893648449,119.0,74.67707319605019,40.0,6.0,1.0
140144,249.5,6,0,5,0.2666666666666666,0.0,2.54135893648449,114.0,74.67707319605019,34.0,6.0,0.0
140144,249.5,6,0,5,0.3636363636363637,1.0,2.54135893648449,112.0,74.67707319605019,32.0,6.0,0.0
140144,249.5,6,0,5,0.3076923076923077,0.0,2.54135893648449,108.0,74.67707319605019,26.0,6.0,0.0
141075,438.17,5,2,12,0.1538461538461538,0.0,2.54135893648449,135.0,124.0,117.0,10.0,1.0
141075,438.17,5,2,11,0.2,0.0,2.54135893648449,148.0,143.0,133.0,10.0,0.0
141075,438.17,5,2,9,0.0294117647058823,0.0,2.54135893648449,143.0,139.0,128.0,10.0,0.0
141075,438.17,5,2,10,0.0588235294117647,0.0,2.54135893648449,147.0,143.0,129.0,10.0,0.0
141075,438.17,5,2,8,0.1,0.0,2.54135893648449,136.0,135.0,120.0,10.0,0.0
141075,438.17,5,2,9,0.1111111111111111,0.0,2.54135893648449,121.0,135.0,109.0,10.0,0.0
141075,438.17,5,2,10,0.2222222222222222,1.0,2.54135893648449,121.0,140.0,109.0,10.0,0.0
141797,312.8,6,0,5,0.25,0.0,2.54135893648449,126.0,74.67707319605019,102.0,19.0,1.0
141797,312.8,6,0,7,0.2666666666666666,0.0,2.54135893648449,125.0,74.67707319605019,101.0,19.0,0.0
141797,312.8,6,0,8,0.0909090909090909,0.0,2.54135893648449,124.0,74.67707319605019,98.0,19.0,0.0
141797,312.8,6,0,5,0.1666666666666666,0.0,2.54135893648449,116.0,74.67707319605019,92.0,19.0,0.0
141797,312.8,6,0,5,0.0099009900990099,0.0,2.54135893648449,113.0,74.67707319605019,89.0,19.0,0.0
141797,312.8,6,0,6,0.024390243902439,0.0,2.54135893648449,117.0,74.67707319605019,91.0,19.0,0.0
141797,312.8,6,0,6,0.0294117647058823,0.0,2.54135893648449,116.0,74.67707319605019,90.0,19.0,0.0
141797,312.8,6,0,6,0.0476190476190476,0.0,2.54135893648449,111.0,74.67707319605019,85.0,19.0,0.0
141797,312.8,6,0,6,0.0476190476190476,0.0,2.54135893648449,92.0,74.67707319605019,65.0,19.0,0.0
141797,312.8,6,0,6,0.0149253731343283,0.0,2.54135893648449,95.0,74.67707319605019,69.0,19.0,0.0
141797,312.8,6,0,6,0.0149253731343283,0.0,2.54135893648449,81.0,74.67707319605019,55.0,19.0,0.0
141797,312.8,6,0,6,0.0099009900990099,0.0,2.54135893648449,77.0,74.67707319605019,50.0,19.0,0.0
141797,312.8,6,0,6,0.0384615384615384,0.0,2.54135893648449,76.0,74.67707319605019,49.0,19.0,0.0
141797,312.8,6,0,6,0.0099009900990099,0.0,2.54135893648449,61.0,74.67707319605019,32.0,19.0,0.0
141797,312.8,6,0,7,0.0099009900990099,0.0,2.54135893648449,58.0,74.67707319605019,28.0,19.0,0.0
141797,312.8,6,0,6,0.0149253731343283,0.0,2.54135893648449,45.0,74.67707319605019,14.0,19.0,0.0
145250,315.75,10,5,9,0.1333333333333333,0.0,2.54135893648449,135.0,136.0,101.0,5.0,1.0
145250,315.75,10,5,7,0.4210526315789473,1.0,2.54135893648449,105.0,110.0,72.0,5.0,0.0
145250,315.75,10,5,11,0.1428571428571428,0.0,12.0,104.0,110.0,70.0,5.0,0.0
145250,315.75,10,5,6,0.1111111111111111,0.0,2.54135893648449,89.0,115.0,52.0,5.0,0.0
145939,313.23,5,1,5,0.1176470588235294,0.0,2.54135893648449,141.0,132.0,121.0,6.0,1.0
145939,313.23,5,1,6,0.2666666666666666,0.0,2.54135893648449,135.0,134.0,113.0,6.0,0.0
145939,313.23,5,1,6,0.1,0.0,2.54135893648449,133.0,130.0,111.0,6.0,0.0
145939,313.23,5,1,6,0.0434782608695652,0.0,2.54135893648449,115.0,74.67707319605019,90.0,6.0,0.0
146633,282.4,6,0,6,0.4,0.0,2.54135893648449,137.0,74.67707319605019,88.0,5.0,1.0
146633,282.4,6,0,6,0.0909090909090909,0.0,2.54135893648449,120.0,112.0,69.0,5.0,0.0
146633,282.4,6,0,6,0.5789473684210527,1.0,2.54135893648449,126.0,74.67707319605019,74.0,5.0,0.0
146716,253.1,5,0,11,0.2,1.0,2.54135893648449,100.0,90.0,81.0,13.0,1.0
146716,253.1,5,0,6,0.0769230769230769,0.0,2.54135893648449,88.0,81.0,68.0,13.0,0.0
146716,253.1,5,0,5,0.125,0.0,2.54135893648449,96.0,93.0,75.0,13.0,0.0
146716,253.1,5,0,4,0.1333333333333333,0.0,2.54135893648449,78.0,91.0,56.0,13.0,0.0
146716,253.1,5,0,7,0.0909090909090909,0.0,2.54135893648449,81.0,80.0,59.0,13.0,0.0
146716,253.1,5,0,8,0.1111111111111111,0.0,2.54135893648449,83.0,84.0,60.0,13.0,0.0
146716,253.1,5,0,5,0.0384615384615384,0.0,2.54135893648449,93.0,98.0,70.0,13.0,0.0
146716,253.1,5,0,6,0.0588235294117647,0.0,2.54135893648449,89.0,100.0,62.0,13.0,0.0
146716,253.1,5,0,8,0.0833333333333333,0.0,2.54135893648449,72.0,94.0,37.0,13.0,0.0
147527,59.69,0,5,3,0.9230769230769232,1.0,2.54135893648449,51.0,79.0,41.0,3.0,1.0
147527,59.69,0,5,3,0.0769230769230769,0.0,2.54135893648449,36.0,74.67707319605019,24.0,3.0,0.0
153705,416.1,6,0,7,0.125,0.0,2.54135893648449,127.0,119.0,61.0,11.0,1.0
153705,416.1,6,0,10,0.1428571428571428,0.0,2.54135893648449,128.0,121.0,63.0,11.0,0.0
153705,416.1,6,0,8,0.1666666666666666,1.0,2.54135893648449,114.0,115.0,49.0,11.0,0.0
153705,416.1,6,0,12,0.0294117647058823,0.0,2.54135893648449,94.0,102.0,29.0,11.0,0.0
153705,416.1,6,0,7,0.1538461538461538,0.0,2.54135893648449,99.0,117.0,35.0,11.0,0.0
153705,416.1,6,0,6,0.1538461538461538,0.0,2.54135893648449,85.0,114.0,23.0,11.0,0.0
153705,416.1,6,0,7,0.0833333333333333,0.0,2.54135893648449,72.0,102.0,11.0,11.0,0.0
153705,416.1,6,0,7,0.0666666666666666,0.0,2.54135893648449,74.0,109.0,13.0,11.0,0.0
154193,306.6,10,4,6,0.1538461538461538,0.0,2.54135893648449,95.0,92.0,27.0,12.0,1.0
154193,306.6,10,4,6,0.25,1.0,2.54135893648449,110.0,107.0,41.0,12.0,0.0
154193,306.6,10,4,8,0.125,0.0,2.54135893648449,91.0,90.0,23.0,12.0,0.0
154193,306.6,10,4,5,0.0769230769230769,0.0,2.54135893648449,93.0,93.0,26.0,12.0,0.0
154193,306.6,10,4,5,0.1428571428571428,0.0,2.54135893648449,102.0,102.0,34.0,12.0,0.0
154193,306.6,10,4,5,0.0588235294117647,0.0,2.54135893648449,102.0,104.0,35.0,12.0,0.0
154193,306.6,10,4,8,0.0833333333333333,0.0,2.54135893648449,105.0,106.0,37.0,12.0,0.0
