race_date,race_no,race_location,race_country,race_id,race_time,track,race_class,course,going,distance,rating,horse_list,results_available,last_updated
2017-06-21 00:00:00.000000,1,HV,HK,,19:15,Turf,5,C,Good,1000,40-0,"T346,S432,N265,T356,V252,T285,M273,V141,S087,S413,P064,V145",1,2017-06-22 00:06:58.567862
2017-06-21 00:00:00.000000,2,HV,HK,,19:50,Turf,5,C,Good,1650,40-0,"T292,T295,V220,S446,S070,T393,T019,N426,S303,T263,V147,A101",1,2017-06-22 00:08:22.206608
2017-06-26 00:00:00.000000,2,S,SG,5596,13:30,Poly,RESTRICTED MAIDEN (2 AND 3 YEAR OLD) (WEIGHT FOR AGE) ,,GOOD,1100,,"44710,44849,44469,44338,44092,44660,44394,44698,44568,44801",1,2017-06-27 00:06:18.220088
2017-06-21 00:00:00.000000,3,HV,HK,,20:20,Turf,4,C,Good,1200,60-40,"V143,V221,A128,V121,P121,S295,A182,T253,A191,V185,S329,A023",1,2017-06-22 00:09:14.714240
2017-06-21 00:00:00.000000,4,HV,HK,,20:50,Turf,4,C,Good,1800,60-40,"S388,T105,S378,V247,T274,S414,V408,P423,V400,V406,T160,V048",1,2017-06-22 00:09:53.947907
2017-06-21 00:00:00.000000,5,HV,HK,,21:20,Turf,3,C,Good,1200,80-60,"A072,T273,V055,P396,T100,A337,V116,V362,A089,A158,V394,A155",1,2017-06-22 00:10:48.561741
2017-06-21 00:00:00.000000,6,HV,HK,,21:50,Turf,4,C,Good,1650,60-40,"T028,S073,T383,V182,V042,A146,T314,N248,S278,A140,S370,V244",1,2017-06-22 00:11:25.262516
2017-06-25 00:00:00.000000,5,ST,HK,,15:05,AWT,4,,Good,1200,60-40,"V225,V255,S367,T381,V231,S277,V161,A078,A280,V306,T099,A208",1,2017-06-26 00:09:06.411219
2017-06-23 00:00:00.000000,4,S,SG,5595,20:20,Turf,CLASS 4 ,B (LC),GOOD,1400,,"44625,44097,43231,42958,43038,43528,43735",1,2017-06-24 00:08:02.194847
2017-06-23 00:00:00.000000,7,S,SG,5595,21:50,Poly,KRANJI STAKES C (SET WEIGHTS) ,,GOOD,1000,,"44075,44150,42776,44422,42084,43507,43494,41390,43704,43917",1,2017-06-24 00:08:29.444696
2017-06-25 00:00:00.000000,7,ST,HK,,16:20,Turf,,A,Good To Firm,1400,,"T251,A025,A170,V077,T268,T301,S284,V066",1,2017-06-26 00:09:54.008939
